	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
1-15	3	1	WHITE	91	0	CITY_ROOFTOPS_15	SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	CHIEF_BOGO,[boss]DASH,YAX	SUGAR_RUSH,NUMBER_ONE_DIME	HEARTY_BREAKFAST,SUNNY_SIDE	
1-16	4	1	WHITE	93	1	CITY_ROOFTOPS_14	SOULLESS_BRUTE,SOULLESS_BRUTE	SOULLESS_BRUTE,SOULLESS_CANNON	CHIEF_BOGO,MR_INCREDIBLE,JUDY_HOPPS,[boss]YAX	NUMBER_ONE_DIME,BELLA_NOTTE	CLEVER_FOX,SUNNY_SIDE	
1-17	4	1	WHITE	95	0	CITY_ROOFTOPS_9	SOULLESS_BRUTE,SOULLESS_CANNON	SOULLESS_BRUTE,SOULLESS_CANNON	[boss]MR_INCREDIBLE,DASH,SOULLESS_CANNON	CLEVER_FOX,BELLA_NOTTE	ACE_OF_SPADES,HEARTY_BREAKFAST	
1-18	4	1	WHITE	97	0	CITY_ROOFTOPS_6	SOULLESS_SWORD_N,SOULLESS_CANNON	SOULLESS_SWORD_N,SOULLESS_CANNON	[boss]MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_CANNON	CLEVER_FOX,SUGAR_RUSH	A_BIT_OF_PRESTIDIGITATION,HEARTY_BREAKFAST	
1-19	5	1	WHITE	100	1	CITY_ROOFTOPS_3	SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_CANNON	CHIEF_BOGO,[boss]DASH,JUDY_HOPPS	SUGAR_RUSH,DULL_SWORD	CLEVER_FOX,ACE_OF_SPADES	1 GOLD_CHEST_ROLL_X1
2-1	5	1	WHITE	101	1	SUBWAY_1	SOULLESS_BRUTE,SOULLESS_CANNON	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_N	[boss]RALPH,VANELLOPE,YAX	PAPER_AIRPLANE,REEL_PARTY_REX	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	
2-2	5	1	WHITE	102	0	SUBWAY_3	SOULLESS_SWORD_N,SOULLESS_SWORD_N	SOULLESS_CANNON,SOULLESS_SWORD_F,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_CANNON,SOULLESS_SWORD_N	CLEVER_FOX,BELLA_NOTTE	PAPER_AIRPLANE,CLEVER_FOX	
2-3	5	1	WHITE	103	0	PORT_1	SOULLESS_CANNON,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,VANELLOPE,YAX	CLEVER_FOX,SUGAR_RUSH	REEL_PARTY_REX,DULL_SWORD	
2-4	5	1	WHITE	105	1	PORT_2	SOULLESS_SWORD_N,SOULLESS_MAGE_N	YAX,SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_N,[boss]FINNICK	GRUB,CLEVER_FOX	HEARTY_BREAKFAST,SUGAR_RUSH	
2-5	5	1	WHITE	106	0	PORT_3	SOULLESS_BRUTE,SOULLESS_MAGE_F	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F	[boss]SOULLESS_BRUTE,[boss]SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_SWORD_N,FINNICK	DULL_SWORD,NUMBER_ONE_DIME	CLEVER_FOX,REEL_PARTY_REX	
2-6	5	1	WHITE	107	0	PORT_4	SOULLESS_SWORD_F,SOULLESS_SWORD_N	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]VANELLOPE,SOULLESS_CANNON,SOULLESS_BRUTE,SOULLESS_SWORD_N	DULL_SWORD,CLEVER_FOX	SUGAR_RUSH,BELLA_NOTTE	
2-7	6	1	WHITE	108	1	PORT_5	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_F	VANELLOPE,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_F	RALPH,SOULLESS_CANNON,[boss]FROZONE,SOULLESS_SWORD_N	MEEKOS_BISCUITS,REEL_INCONSPICUOUS_APPLE	NUMBER_ONE_DIME,CLEVER_FOX	
2-8	6	1	WHITE	109	0	PORT_6	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_CANNON	GRUB,CLEVER_FOX	MEEKOS_BISCUITS,SUGAR_RUSH	
2-9	6	1	WHITE	111	0	PORT_7	SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	[boss]RALPH,SOULLESS_CANNON,FINNICK,SOULLESS_SWORD_N	MULTIPURPOSE_FRYING_PAN,REEL_PARTY_REX	MEEKOS_BISCUITS,NUMBER_ONE_DIME	
2-10	6	1	WHITE	112	1	PORT_8	SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_N,[boss]VANELLOPE	MULTIPURPOSE_FRYING_PAN,REEL_ANEMONEMONE	GRUB,CLEVER_FOX	1 GOLD_CHEST_ROLL_X1
2-11	6	1	WHITE	113	0	PORT_9	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_N,[boss]SOULLESS_SWORD_N,SOULLESS_CANNON,YAX	BADGE_OF_FRIENDSHIP,REEL_INCONSPICUOUS_APPLE	MULTIPURPOSE_FRYING_PAN,GRUB	
2-12	6	1	WHITE	114	0	PORT_10	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_CANNON	YAX,SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_BRUTE	[boss]CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	NUMBER_ONE_DIME,BELLA_NOTTE	BADGE_OF_FRIENDSHIP,MEEKOS_BISCUITS	
2-13	6	1	WHITE	116	1	PORT_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON	DASH,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE,VANELLOPE,[boss]FINNICK	BADGE_OF_STEALTH,NUMBER_ONE_DIME	GRUB,SUGAR_RUSH	
2-14	6	1	WHITE	117	0	PORT_12	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,VANELLOPE,SOULLESS_CANNON,[boss]SOULLESS_SWORD_F	SUNNY_SIDE,GRUB	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	
2-15	7	1	WHITE	118	0	PORT_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	[boss]CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F	BELLA_NOTTE,SUGAR_RUSH	REEL_BLUEBIRD_OF_HAPPINESS,NUMBER_ONE_DIME	
2-16	7	1	WHITE	119	1	PORT_14	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_MAGE_F	YAX,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_CANNON,VANELLOPE,FINNICK,[boss]ELASTIGIRL	FISHING_POLE,REEL_BLUEBIRD_OF_HAPPINESS	HEARTY_BREAKFAST,SUGAR_RUSH	
2-17	7	1	WHITE	121	0	PORT_15	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE	YAX,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	[boss]SOULLESS_BRUTE,SOULLESS_CANNON,VANELLOPE,SOULLESS_SWORD_N	REEL_INCONSPICUOUS_APPLE,REEL_BLUEBIRD_OF_HAPPINESS	BADGE_OF_FRIENDSHIP,SUGAR_RUSH	
2-18	7	1	WHITE	122	0	PORT_5	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_SWORD_F	JUDY_HOPPS,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_CANNON	[boss]SOULLESS_SWORD_F,SOULLESS_TURRET,YAX,FINNICK	MULTIPURPOSE_FRYING_PAN,CLEVER_FOX	REEL_INCONSPICUOUS_APPLE,BELLA_NOTTE	
2-19	7	1	WHITE	123	1	PORT_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N	SOULLESS_MAGE_N,SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F,YAX,[boss]FINNICK	ACE_OF_SPADES,GRUB	HEARTY_BREAKFAST,NUMBER_ONE_DIME	1 GOLD_CHEST_ROLL_X1
3-1	8	1	WHITE	125	1	SUBWAY_3	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE,VANELLOPE,JUDY_HOPPS,[boss]YAX	EMBRITTLEMENT_PERFUME,PIRATES_COMPASS,HEARTY_BREAKFAST	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	
3-2	8	1	WHITE	126	0	SUBWAY_2	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_N	SOULLESS_MAGE_F,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F,SOULLESS_CANNON	[boss]RALPH,SOULLESS_SWORD_F,DASH,SOULLESS_CANNON	HEARTY_BREAKFAST,MULTIPURPOSE_FRYING_PAN,SUGAR_RUSH	TOUGH_COOKIE,REEL_PARTY_REX	
3-3	9	1	WHITE	128	0	BLACK_MARKET_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F	DASH,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]MR_INCREDIBLE,SOULLESS_SWORD_F,SOULLESS_CANNON,ELASTIGIRL	A_BIT_OF_PRESTIDIGITATION,REEL_PARTY_REX,PAPER_AIRPLANE	BELLA_NOTTE,PIRATES_COMPASS	
3-4	4	1	GREEN	129	1	BLACK_MARKET_2	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,[boss]MR_INCREDIBLE,SOULLESS_CANNON,SOULLESS_SWORD_N,FINNICK	SUPER_DUPER_GLUE,TOUGH_COOKIE,REEL_CRAB_CAKE	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	
3-5	5	1	GREEN	131	0	BLACK_MARKET_3	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,SOULLESS_MAGE_F,SOULLESS_CANNON,YAX	REEL_LOVELY_BUNCH_OF_COCONUTS,BELLA_NOTTE,CLEVER_FOX	SUGAR_RUSH,PAPER_AIRPLANE	
3-6	6	1	GREEN	133	0	BLACK_MARKET_4	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]MR_INCREDIBLE,RALPH,JUDY_HOPPS,FROZONE	SNUGGLY_DUCKLING,CLEVER_FOX,SUGAR_RUSH	PAPER_AIRPLANE,ACE_OF_SPADES	
3-7	7	1	GREEN	134	1	BLACK_MARKET_5	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	CHIEF_BOGO,MR_INCREDIBLE,VANELLOPE,[boss]FROZONE,SOULLESS_MAGE_F	GLASS_SLIPPERS,SWORD_IN_A_STONE,REEL_LOVELY_BUNCH_OF_COCONUTS	SUNNY_SIDE,SUGAR_RUSH	
3-8	7	1	GREEN	136	0	BLACK_MARKET_6	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_BRUTE	DASH,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,CHIEF_BOGO,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SUPER_DUPER_GLUE,PAPER_AIRPLANE,DULL_SWORD	NUMBER_ONE_DIME,ACE_OF_SPADES	
3-9	8	1	GREEN	137	0	BLACK_MARKET_7	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_SWORD_N	[boss]CHIEF_BOGO,SOULLESS_BRUTE,RALPH,SOULLESS_MAGE_N	TOUGH_COOKIE,MULTIPURPOSE_FRYING_PAN,MEEKOS_BISCUITS	DULL_SWORD,NUMBER_ONE_DIME	
3-10	8	1	GREEN	139	1	BLACK_MARKET_8	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_MAGE_F,VANELLOPE,JUDY_HOPPS,[boss]ELASTIGIRL	COOKBOOK,REEL_GOLDEN_FLOWER,MULTIPURPOSE_FRYING_PAN	ACE_OF_SPADES,NUMBER_ONE_DIME	11 STONE_YAX
3-11	9	1	GREEN	141	0	BLACK_MARKET_9	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F	YAX,SOULLESS_BRUTE,SOULLESS_MAGE_F	[boss]MR_INCREDIBLE,ELASTIGIRL,DASH,SOULLESS_CANNON,FROZONE	ACE_OF_SPADES,GRUB,MULTIPURPOSE_FRYING_PAN	SWORD_IN_A_STONE,DULL_SWORD	
3-12	9	1	GREEN	142	0	BLACK_MARKET_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SWORD_F,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_BRUTE	RALPH,[boss]MR_INCREDIBLE,VANELLOPE,SOULLESS_MAGE_N	GLASS_SLIPPERS,WIZARD_HAT,NUMBER_ONE_DIME	MOON_ANCHOR,GRUB	
3-13	10	1	GREEN	144	1	BLACK_MARKET_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	RALPH,SOULLESS_MAGE_F,SOULLESS_CANNON,DASH,[boss]MR_INCREDIBLE	SNUGGLY_DUCKLING,PAPER_AIRPLANE,REEL_PRICKLY_PEAR	CLEVER_FOX,NUMBER_ONE_DIME	
3-14	10	1	GREEN	145	0	BLACK_MARKET_12	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,RALPH,FROZONE,VIOLET,SOULLESS_MAGE_F	SWORD_IN_A_STONE,REEL_CONSPICUOUS_APPLE,BELLA_NOTTE	ACE_OF_SPADES,WIZARD_HAT	
3-15	11	1	GREEN	147	0	BLACK_MARKET_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F	VIOLET,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]RALPH,ELASTIGIRL,DASH,SOULLESS_MAGE_N,SOULLESS_MAGE_N	REEL_CRAB_CAKE,MOON_ANCHOR,BADGE_OF_STEALTH	WIZARD_HAT,NUMBER_ONE_DIME	
3-16	11	1	GREEN	149	1	BLACK_MARKET_15	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_CANNON,DASH,SOULLESS_CANNON,SOULLESS_MAGE_N	WIZARD_HAT,REEL_CONSPICUOUS_APPLE,REEL_TINY_CAR	DULL_SWORD,ACE_OF_SPADES	
3-17	12	1	GREEN	150	0	BLACK_MARKET_15	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]SOULLESS_BRUTE,RALPH,SOULLESS_CANNON,VANELLOPE,SOULLESS_MAGE_F	COOKBOOK,CONTINENTAL_BREAKFAST,BADGE_OF_FRIENDSHIP	MEEKOS_BISCUITS,CLEVER_FOX	
3-18	13	1	GREEN	152	0	BLACK_MARKET_16	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_F	VANELLOPE,SOULLESS_MAGE_N,SOULLESS_CANNON	[boss]SOULLESS_BRUTE,ELASTIGIRL,SOULLESS_MAGE_N,SOULLESS_MAGE_N,JUDY_HOPPS	REEL_GOLDEN_FLOWER,MULTIPURPOSE_FRYING_PAN,MEEKOS_BISCUITS	BADGE_OF_FRIENDSHIP,GLASS_SLIPPERS	
3-19	14	1	GREEN	153	1	SUBWAY_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,SOULLESS_MAGE_N,SOULLESS_CANNON,ELASTIGIRL,[boss]MR_INCREDIBLE	MOON_ANCHOR,CONTINENTAL_BREAKFAST,SHARD_GIGANTIC_PEACH	GRUB,BADGE_OF_FRIENDSHIP	1 GOLD_CHEST_ROLL_X1
4-1	15	1	GREEN	156	1	SUBWAY_4	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_CANNON	VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,CHIEF_BOGO,[boss]RALPH,SOULLESS_MAGE_F,FROZONE	SHARD_JAR_OF_MARS,SWORD_IN_A_STONE,SHARD_REEL_CHIEFS_STONE	SUGAR_RUSH,HEARTY_BREAKFAST	
4-2	15	1	GREEN	158	0	SUBWAY_5	SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,SOULLESS_MAGE_N,SOULLESS_MAGE_N,ELASTIGIRL,FINNICK	SHARD_JAR_OF_MARS,CONTINENTAL_BREAKFAST,SHARD_YOU_CAN_FLY	SWORD_IN_A_STONE,HEARTY_BREAKFAST,SUGAR_RUSH	
4-3	16	1	GREEN	161	0	HACKER_ENCLAVE_1	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	[boss]SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_F,DASH,FROZONE	SWORD_IN_A_STONE,REEL_ANEMONEMONE,REEL_MRS_NESBITTS_CHAPEAU	SHARD_REEL_CHIEFS_STONE,SUNNY_SIDE,SHARD_JAR_OF_MARS	
4-4	11	1	GREEN_1	163	1	HACKER_ENCLAVE_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_BRUTE	MR_INCREDIBLE,CHIEF_BOGO,SOULLESS_BRUTE,SOULLESS_CANNON,FINNICK,[boss]NICK_WILDE	SHARD_WICKED_BEATS,REEL_MRS_NESBITTS_CHAPEAU,SNUGGLY_DUCKLING	A_BIT_OF_PRESTIDIGITATION,SUNNY_SIDE,ACE_OF_SPADES	
4-5	12	1	GREEN_1	166	0	HACKER_ENCLAVE_3	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,SOULLESS_MAGE_N,VANELLOPE,YAX,VIOLET,SOULLESS_MAGE_N	SHARD_REEL_CHIEFS_STONE,DULL_SWORD,REEL_TINY_CAR	SHARD_YOU_CAN_FLY,SHARD_JAR_OF_MARS,A_BIT_OF_PRESTIDIGITATION	
4-6	13	1	GREEN_1	168	0	HACKER_ENCLAVE_4	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_CANNON	VIOLET,SOULLESS_SWORD_F,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N,FINNICK	SHARD_YOU_CAN_FLY,SHARD_SPILT_MILK,SHARD_WICKED_BEATS	REEL_ANVIL_OF_MORALITY,REEL_TINY_CAR,REEL_MRS_NESBITTS_CHAPEAU	
