	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	HP_MAX	BASIC_DAMAGE	SKILL_POWER	HP_REGEN	ENERGY_REGEN	ARMOR	REALITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	CONSERVATION	IMPROVED_HEALING	EVASION	CRIT_DAMAGE	POWER
RED_SKILL_CHEST_1X	MISC	PURPLE		R1																							
RED_SKILL_CHEST_10X	MISC	ORANGE		R1																							
GUILD_TROPHY_SMALL	GUILD_TROPHY	GREEN		R1			0	10																			
GUILD_TROPHY_MEDIUM	GUILD_TROPHY	BLUE		R1			0	60																			
GUILD_TROPHY_LARGE	GUILD_TROPHY	PURPLE		R1			0	360																			
GUILD_TROPHY_XL	GUILD_TROPHY	ORANGE		R1			0	2,160																			
DOUBLE_CAMPAIGN_GOLD	MISC	PURPLE		R1			150	1,500																			
DOUBLE_CAMPAIGN_HERO_XP	MISC	PURPLE		R1			100	1,000																			
AVATAR_BETA_KEY	SPECIAL_AVATAR	PURPLE		R1			1	1																			
AVATAR_INCREDIBLES	SPECIAL_AVATAR	PURPLE		R1			1	1																			
MR_INCREDIBLE_EMOJI	EMOJI	PURPLE		R1			60	250																			
ELASTIGIRL_EMOJI	EMOJI	PURPLE		R1			60	250																			
DASH_EMOJI	EMOJI	PURPLE		R1			60	250																			
VIOLET_EMOJI	EMOJI	PURPLE		R1			60	250																			
JACK_JACK_EMOJI	EMOJI	PURPLE		R1			60	250																			
FROZONE_EMOJI	EMOJI	PURPLE		R1			60	250																			
JUDY_HOPPS_EMOJI	EMOJI	PURPLE		R1			60	250																			
NICK_WILDE_EMOJI	EMOJI	PURPLE		R1			60	250																			
FINNICK_EMOJI	EMOJI	PURPLE		R1			60	250																			
CHIEF_BOGO_EMOJI	EMOJI	PURPLE		R1			60	250																			
YAX_EMOJI	EMOJI	PURPLE		R1			60	250																			
BUZZ_EMOJI	EMOJI	PURPLE		R1			60	250																			
WOODY_EMOJI	EMOJI	PURPLE		R1			60	250																			
REX_EMOJI	EMOJI	PURPLE		R1			60	250																			
EMPEROR_ZURG_EMOJI	EMOJI	PURPLE		R1			60	250																			
JESSIE_EMOJI	EMOJI	PURPLE		R1			60	250																			
SULLEY_EMOJI	EMOJI	PURPLE		R1			60	250																			
MIKE_EMOJI	EMOJI	PURPLE		R1			60	250																			
EVE_EMOJI	EMOJI	PURPLE		R1			60	250																			
WALL_E_EMOJI	EMOJI	PURPLE		R1			60	250																			
JACK_SPARROW_EMOJI	EMOJI	PURPLE		R1			60	250																			
MERIDA_EMOJI	EMOJI	PURPLE		R1			60	250																			
STITCH_EMOJI	EMOJI	PURPLE		R1			60	250																			
MAUI_EMOJI	EMOJI	PURPLE		R1			60	250																			
MOANA_EMOJI	EMOJI	PURPLE		R1			60	250																			
VANELLOPE_EMOJI	EMOJI	PURPLE		R1			60	250																			
RALPH_EMOJI	EMOJI	PURPLE		R1			60	250																			
FELIX_EMOJI	EMOJI	PURPLE		R1			60	250																			
CALHOUN_EMOJI	EMOJI	PURPLE		R1			60	250																			
TIA_DALMA_EMOJI	EMOJI	PURPLE		R1			60	250																			
HECTOR_BARBOSSA_EMOJI	EMOJI	PURPLE		R1			60	250																			
GENERIC_STONES	MISC	PURPLE		R9999																							
GENERIC_BITS	MISC	PURPLE		R9999																							
GENERIC_BADGES	MISC	PURPLE		R9999																							
GENERIC_BADGE_SHARDS	MISC	PURPLE		R9999																							
MISSION_SPEEDUP_2H	MISC	PURPLE		R1																							
EXPEDITION_RAID_1	MISC	BLUE		R1																							
EXPEDITION_RAID_2	MISC	BLUE		R1																							
VIDEO_CRATE	MISC	PURPLE		R1			300	1,500																			
CRYPT_RAID_TICKET	MISC	BLUE		R1																							
ELASTIGIRL_SUIT2	COSTUME	PURPLE		R1																							
THREAD_ELASTIGIRL_SUIT2	THREAD	BLUE		R1	10,000																						
REX_PARTYSAURUS	COSTUME	PURPLE		R1																							
THREAD_REX_PARTYSAURUS	THREAD	BLUE		R1	10,000																						
STITCH_EXPERIMENT626	COSTUME	PURPLE		R1																							
THREAD_STITCH_EXPERIMENT626	THREAD	BLUE		R1	10,000																						
MERIDA_PRINCESS	COSTUME	PURPLE		R1																							
THREAD_MERIDA_PRINCESS	THREAD	BLUE		R1	10,000																						
GENIE_VACATION	COSTUME	PURPLE		R1																							
THREAD_GENIE_VACATION	THREAD	BLUE		R1	10,000																						
ALADDIN_PRINCE	COSTUME	PURPLE		R1																							
THREAD_ALADDIN_PRINCE	THREAD	BLUE		R1	10,000																						
NICK_WILDE_OFFICER	COSTUME	PURPLE		R1																							
THREAD_NICK_WILDE_OFFICER	THREAD	BLUE		R1	10,000																						
INVASION_REVIVE	INVASION_CONSUMABLE	PURPLE		R3			10	50																			
INVASION_EMPOWER_STONE	INVASION_CONSUMABLE	PURPLE		R3			50	250																			
INVASION_ENERGY_REGEN	INVASION_CONSUMABLE	BLUE		R3			12	33																			
INVASION_SHIELD	INVASION_CONSUMABLE	BLUE		R3			7	26																			
INVASION_SLOW	INVASION_CONSUMABLE	BLUE		R3			4	20																			
INVASION_ARMOR_SHRED	INVASION_CONSUMABLE	BLUE		R3			12	40																			
INVASION_REALITY_SHRED	INVASION_CONSUMABLE	BLUE		R3			12	40																			
INVASION_INVINCIBILITY	INVASION_CONSUMABLE	BLUE		R3			35	40																			
INVASION_HEX	INVASION_CONSUMABLE	BLUE		R3			35	40																			
INVASION_STAMINA_CONSUMABLE	MISC	PURPLE		R3			3	15																			
RANDOM_FEATURED_HERO_CHIP	HIDDEN	WHITE		R9000																							
RANDOM_INVASION_CONSUMABLE	HIDDEN	WHITE		R9000																							
MERCHANT_SLOTS_PERK_UPSELL	HIDDEN	WHITE		R1																							
CODE_1_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_1_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_1_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_2_CIRCLE	CODE_FRAGMENT	WHITE		R1																							
CODE_2_SQUARE	CODE_FRAGMENT	WHITE		R1																							
CODE_2_DIAMOND	CODE_FRAGMENT	WHITE		R1																							
CODE_3_CIRCLE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_3_CIRCLE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_3_CIRCLE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_3_SQUARE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_3_SQUARE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_3_SQUARE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_3_DIAMOND_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_3_DIAMOND_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_3_DIAMOND_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_4_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_4_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_4_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_5_CIRCLE	CODE_FRAGMENT	WHITE		R1																							
CODE_5_SQUARE	CODE_FRAGMENT	WHITE		R1																							
CODE_5_DIAMOND	CODE_FRAGMENT	WHITE		R1																							
CODE_6_CIRCLE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_6_CIRCLE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_6_CIRCLE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_6_SQUARE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_6_SQUARE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_6_SQUARE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_6_DIAMOND_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_6_DIAMOND_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_6_DIAMOND_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_7_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_7_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_7_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_8_CIRCLE	CODE_FRAGMENT	WHITE		R1																							
CODE_8_SQUARE	CODE_FRAGMENT	WHITE		R1																							
CODE_8_DIAMOND	CODE_FRAGMENT	WHITE		R1																							
CODE_9_CIRCLE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_9_CIRCLE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_9_CIRCLE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_9_SQUARE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_9_SQUARE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_9_SQUARE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_9_DIAMOND_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_9_DIAMOND_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_9_DIAMOND_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_10_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_10_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_10_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_11_CIRCLE	CODE_FRAGMENT	WHITE		R1																							
CODE_11_SQUARE	CODE_FRAGMENT	WHITE		R1																							
CODE_11_DIAMOND	CODE_FRAGMENT	WHITE		R1																							
CODE_12_CIRCLE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_12_CIRCLE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_12_CIRCLE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_12_SQUARE_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_12_SQUARE_BLUE	CODE_FRAGMENT	WHITE		R1																							
CODE_12_SQUARE_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_12_DIAMOND_RED	CODE_FRAGMENT	WHITE		R1																							
CODE_12_DIAMOND_YELLOW	CODE_FRAGMENT	WHITE		R1																							
CODE_12_DIAMOND_BLUE	CODE_FRAGMENT	WHITE		R1																							
GOLD_CHEST_ROLL_X10	MISC	ORANGE		R1																							
SKILL_POINT_CONSUMABLE	MISC	PURPLE		R1																							
VIRUS_CONSUMABLE	MISC	BLUE		R1																							
ANTI_VIRUS_CONSUMABLE	MISC	BLUE		R1																							
EXPEDITION_RAID_3	MISC	BLUE		R1																							
DONUT_BORDER	AVATAR_BORDER	WHITE	2	R1				100																			
FLORAL_BORDER	AVATAR_BORDER	WHITE		R9000																							
LEAF_MANE_BORDER	AVATAR_BORDER	WHITE	1	R1				25																			
MARQUEE_BORDER	AVATAR_BORDER	WHITE	1	R1				25																			
METAL_BORDER	AVATAR_BORDER	WHITE	1	R1				25																			
MICKEY_EARS_BORDER	AVATAR_BORDER	WHITE	4	R9000				400																			
MINNIE_EARS_BORDER	AVATAR_BORDER	WHITE	4	R9000				400																			
MUSIC_BORDER	AVATAR_BORDER	WHITE	2	R1				100																			
PAWPRINT_BORDER	AVATAR_BORDER	WHITE	2	R1				100																			
ROPE_BORDER	AVATAR_BORDER	WHITE		R9000																							
ROYALTY_BORDER	AVATAR_BORDER	WHITE		R9000																							
STEAMPUNK_BORDER	AVATAR_BORDER	WHITE	4	R9000				400																			
SUPERHERO_BORDER	AVATAR_BORDER	WHITE	3	R1				200																			
WATER_BORDER	AVATAR_BORDER	WHITE		R9000																							
COLLECTION_AVATAR_TANK	COLLECTION_AVATAR	WHITE		R1				100																			
COLLECTION_AVATAR_DAMAGE	COLLECTION_AVATAR	WHITE		R1				100																			
COLLECTION_AVATAR_SUPPORT	COLLECTION_AVATAR	WHITE		R1				100																			
COLLECTION_AVATAR_CONTROL	COLLECTION_AVATAR	WHITE		R1				100																			
COLLECTION_AVATAR_ZOOTOPIA	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_INCREDIBLES	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_TOY_STORY	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_ALICE_IN_WONDERLAND	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_STUN	COLLECTION_AVATAR	WHITE		R1				200																			
COLLECTION_AVATAR_CHARM	COLLECTION_AVATAR	WHITE		R1				200																			
COLLECTION_AVATAR_SHIELDS	COLLECTION_AVATAR	WHITE		R1				200																			
COLLECTION_AVATAR_HEALER	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_WRECK_IT_RALPH	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_DUCKTALES	COLLECTION_AVATAR	WHITE		R1				300																			
COLLECTION_AVATAR_PRINCESS	COLLECTION_AVATAR	WHITE		R1				300																			
STONE_MYSTERY_SIGNIN	STONE	BLUE			4,000	20,000	40	100																			
HERO_MYSTERY_SIGNIN	HERO	WHITE																									
STONE_MYSTERY_SIGNIN_YZMA	STONE	BLUE			4,000	20,000	40	100																			
HERO_MYSTERY_SIGNIN_YZMA	HERO	WHITE																									
STONE_MYSTERY_SIGNIN_SYNDROME	STONE	BLUE			4,000	20,000	40	100																			
HERO_MYSTERY_SIGNIN_SYNDROME	HERO	WHITE																									
ANNIVERSARY_AVATAR	SPECIAL_AVATAR	PURPLE		R1																							
BETA_ANNIVERSARY_AVATAR	SPECIAL_AVATAR	PURPLE		R1																							
POSTER_AVATAR_BUZZ_STAR_COMMAND	POSTER	PURPLE		R9000																							
POSTER_AVATAR_LIGHTINING_MCQUEEN_SUPERCAR	POSTER	PURPLE		R9000																							
POSTER_AVATAR_POWERLINE_TOUR	POSTER	PURPLE		R9000																							
POSTER_AVATAR_MONSTER_TRUCK	POSTER	PURPLE		R9000																							
POSTER_AVATAR_UNICORN	POSTER	PURPLE		R9000																							
POSTER_AVATAR_TRAVEL	POSTER	PURPLE		R9000																							
POSTER_AVATAR_WOODYS_ROUNDUP	POSTER	PURPLE		R9000																							
ROBIN_HOOD_EMOJI	EMOJI	PURPLE		R1			60	250																			
MOD_UPGRADE_ARMOR	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_REALITY	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_SHIELDS	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_SKILL_LEVEL_2	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_SKILL_LEVEL_3	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_SKILL_LEVEL_4	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_ATTACK_SPEED	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_NORMAL_CRIT	MOD_UPGRADE	WHITE		R1																							
MOD_UPGRADE_FANTASTIC_CRIT	MOD_UPGRADE	WHITE		R1																							
BO_PEEP_EMOJI	EMOJI	PURPLE		R1			60	250																			
ANGER_EMOJI	EMOJI	PURPLE		R1			60	250																			
JOY_EMOJI	EMOJI	PURPLE		R1			60	250																			
ALADDIN_EMOJI	EMOJI	PURPLE		R1			60	250																			
GENIE_EMOJI	EMOJI	PURPLE		R1			60	250																			
HERCULES_EMOJI	EMOJI	PURPLE		R1			60	250																			
JACK_SKELLINGTON_EMOJI	EMOJI	PURPLE		R1			60	250																			
SALLY_EMOJI	EMOJI	PURPLE		R1			60	250																			
HADES_EMOJI	EMOJI	PURPLE		R1			60	250																			
MEGARA_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_STAR_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_HEART_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_MOON_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_CLOVER_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_LOOK_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_PARTY_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_TROPHY_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_RAINBOW_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_ROCKET_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_CUPCAKE_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_SPIDER_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_PRESENT_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_BUTTERFLY_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_THUMBSUP_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_THUMBSDOWN_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_BACON_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_POPCORN_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_EIGHTH_NOTE_EMOJI	EMOJI	PURPLE		R1			60	250																			
PQ_BALLOON_EMOJI	EMOJI	PURPLE		R1			60	250																			
ALICE_EMOJI	EMOJI	PURPLE		R1			60	250																			
BAYMAX_EMOJI	EMOJI	PURPLE		R1			60	250																			
GASTON_EMOJI	EMOJI	PURPLE		R1			60	250																			
HIRO_EMOJI	EMOJI	PURPLE		R1			60	250																			
MAD_HATTER_EMOJI	EMOJI	PURPLE		R1			60	250																			
MALEFICENT_EMOJI	EMOJI	PURPLE		R1			60	250																			
MIGUEL_EMOJI	EMOJI	PURPLE		R1			60	250																			
SCAR_EMOJI	EMOJI	PURPLE		R1			60	250																			
PIZZA_BORDER	AVATAR_BORDER	WHITE		R1																							
SHOOTING_STAR_BORDER	AVATAR_BORDER	WHITE		R1																							
SUN_MOON_BORDER	AVATAR_BORDER	WHITE		R1																							
GOOFY_BORDER	AVATAR_BORDER	WHITE		R1																							
LADYBUG_BORDER	AVATAR_BORDER	WHITE		R1																							
CANDY_BORDER	AVATAR_BORDER	WHITE		R1																							
BASEBALL_BORDER	AVATAR_BORDER	WHITE		R1																							
POWERLINE_BORDER	AVATAR_BORDER	WHITE		R1																							
GLITCH_HOLOGRAM_BORDER	AVATAR_BORDER	WHITE		R1																							
FIREWORKS_BORDER	AVATAR_BORDER	WHITE		R1																							
MERMAID_BORDER	AVATAR_BORDER	WHITE		R1																							
COMPUTER_CIRCUIT_BORDER	AVATAR_BORDER	WHITE	3	R1				200																			
FREE_NAME_CHANGE	MISC	WHITE		R1																							
EXPEDITION_EPIC_RAID_TICKET	HIDDEN	RED		R1																							
DONALD_HAT_BORDER	AVATAR_BORDER	WHITE		R1																							
FALL_BORDER	AVATAR_BORDER	WHITE		R1																							
FLAMINGO_BORDER	AVATAR_BORDER	WHITE		R1																							
MUPPET_BORDER	AVATAR_BORDER	WHITE		R1																							
NEW_YEAR_BORDER	AVATAR_BORDER	WHITE		R1																							
PEPPERMINT_BORDER	AVATAR_BORDER	WHITE		R1																							
RAINBOW_BORDER	AVATAR_BORDER	WHITE	3	R1				200																			
SNOW_GLOBE_BORDER	AVATAR_BORDER	WHITE		R1																							
WITCH_BORDER	AVATAR_BORDER	WHITE		R1																							
WINTER_BORDER	AVATAR_BORDER	WHITE		R1																							
ALICE_IN_WONDERLAND_BORDER	AVATAR_BORDER	WHITE		R1																							
ART_DECO_BORDER	AVATAR_BORDER	WHITE		R1																							
OCTOPUS_BORDER	AVATAR_BORDER	WHITE		R1																							
STAINED_GLASS_BORDER	AVATAR_BORDER	WHITE		R1																							
CHEESE_BORDER	AVATAR_BORDER	WHITE		R1																							
DOILY_BORDER	AVATAR_BORDER	WHITE		R1																							
FILM_STRIP_BORDER	AVATAR_BORDER	WHITE		R1																							
FISH_BORDER	AVATAR_BORDER	WHITE		R1																							
PEARL_BORDER	AVATAR_BORDER	WHITE		R1																							
PIE_CRUST_BORDER	AVATAR_BORDER	WHITE		R1																							
ST_PATRICKS_BORDER	AVATAR_BORDER	WHITE		R1																							
VALENTINES_BORDER	AVATAR_BORDER	WHITE		R1																							
WOOD_BORDER	AVATAR_BORDER	WHITE		R1																							
RANDALL_BOGGS_EMOJI	EMOJI	PURPLE		R1			60	250																			
ELSA_EMOJI	EMOJI	PURPLE		R1			60	250																			
OLAF_EMOJI	EMOJI	PURPLE		R1			60	250																			
SCROOGE_MCDUCK_EMOJI	EMOJI	PURPLE		R1			60	250																			
DARKWING_DUCK_EMOJI	EMOJI	PURPLE		R1			60	250																			
OOGIE_BOOGIE_EMOJI	EMOJI	PURPLE		R1			60	250																			
PETER_PAN_EMOJI	EMOJI	PURPLE		R1			60	250																			
CAPTAIN_HOOK_EMOJI	EMOJI	PURPLE		R1			60	250																			
QUORRA_EMOJI	EMOJI	PURPLE		R1			60	250																			
JASMINE_EMOJI	EMOJI	PURPLE		R1			60	250																			
FIGHT_PIT_CHAMPION_BORDER	AVATAR_BORDER	RED		R1																							
FIGHT_PIT_DIV_1_BORDER	AVATAR_BORDER	ORANGE		R1																							
COLISEUM_CHAMPION_BORDER	AVATAR_BORDER	RED		R1																							
COLISEUM_DIV_1_BORDER	AVATAR_BORDER	ORANGE		R1																							
JAFAR_EMOJI	EMOJI	WHITE		R1																							
QUEEN_OF_HEARTS_EMOJI	EMOJI	WHITE		R1																							
BEAST_EMOJI	EMOJI	WHITE		R1																							
LAUNCHPAD_MCQUACK_EMOJI	EMOJI	WHITE		R1																							
GIZMODUCK_EMOJI	EMOJI	WHITE		R1																							
RAPUNZEL_EMOJI	EMOJI	WHITE		R1																							
FLYNN_RIDER_EMOJI	EMOJI	WHITE		R1																							
RAFIKI_EMOJI	EMOJI	WHITE		R1																							
KEVIN_FLYNN_EMOJI	EMOJI	WHITE		R1																							
WINNIE_THE_POOH_EMOJI	EMOJI	WHITE		R1																							
TIGGER_EMOJI	EMOJI	WHITE		R1																							
EEYORE_EMOJI	EMOJI	WHITE		R1																							
MAGICA_DE_SPELL_EMOJI	EMOJI	WHITE		R1																							
ANNIVERSARY_AVATAR_2	SPECIAL_AVATAR	PURPLE		R1																							
BETA_ANNIVERSARY_AVATAR_2	SPECIAL_AVATAR	PURPLE		R1																							
PQ_ANCHOR_EMOJI	EMOJI	WHITE		R9000																							
PQ_APPLE_EMOJI	EMOJI	WHITE		R9000																							
PQ_BANANA_EMOJI	EMOJI	WHITE		R9000																							
PQ_BASEBALL_EMOJI	EMOJI	WHITE		R9000																							
PQ_BAT_EMOJI	EMOJI	WHITE		R9000																							
PQ_BEAR_EMOJI	EMOJI	WHITE		R9000																							
PQ_BEEHIVE_EMOJI	EMOJI	WHITE		R9000																							
PQ_BLACK_CAT_EMOJI	EMOJI	WHITE		R9000																							
PQ_TURTLE_EMOJI	EMOJI	WHITE		R9000																							
PQ_CELEBRATION_EMOJI	EMOJI	WHITE		R9000																							
PQ_CHECKMARK_EMOJI	EMOJI	WHITE		R9000																							
PQ_CHERRY_EMOJI	EMOJI	WHITE		R9000																							
PQ_CHRISTMAS_TREE_EMOJI	EMOJI	WHITE		R9000																							
PQ_DEER_EMOJI	EMOJI	WHITE		R9000																							
PQ_DOWN_ARROW_EMOJI	EMOJI	WHITE		R9000																							
PQ_DRAGON_EMOJI	EMOJI	WHITE		R9000																							
PQ_EXCLAMATION_POINT_EMOJI	EMOJI	WHITE		R9000																							
